,Cells/Single Cells - FSC/Single Cells - SSC/CD81- | Freq. of Parent (%),Cells/Single Cells - FSC/Single Cells - SSC/GFP+/CD81- | Freq. of Parent (%),
no-virus-anti-CD81-stained.fcs,3.07,31.2,
no-virus-unstained.fcs,99.9,98.6,
pV2TUdCtrl2_NTC_anti-CD81-stained.fcs,2.24,2.22,
pV2TUd12_CD81ko_and_Cre_anti-CD81-stained.fcs,94.6,95.2,
Mean,62.0,65.6,
SD,49.2,45.1,
