id	cycle	FieldID	ImageResolutionX	ImageResolutionY	ImageSizeX	ImageSizeY	PositionX	PositionY
61	1	61	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	-0.000581233
62	1	62	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001162465
63	1	63	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001162465
64	1	64	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001162465
65	1	65	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001162465
66	1	66	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001162465
67	1	67	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001162465
68	1	68	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001162465
69	1	69	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001162465
70	1	70	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001162465
71	1	71	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001743698
72	1	72	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001743698
73	1	73	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001743698
74	1	74	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001743698
75	1	75	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001743698
76	1	76	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001743698
77	1	77	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001743698
78	1	78	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001743698
79	1	79	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001743698
80	1	80	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.002324931
81	1	81	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.002324931
82	1	82	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002324931
83	1	83	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002324931
84	1	84	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002324931
85	1	85	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.002324931
86	1	86	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.002324931
87	1	87	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002906164
88	1	88	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002906164
89	1	89	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002906164
90	2	1	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0
91	2	2	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002906164
92	2	3	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002906164
