id	epi1	epi2	epi3
1	OLLAS	V5	FLAG
2	FLAG	ALFA	VSVG
3	VSVG	V5	OLLAS
4	OLLAS	VSVG	FLAG
5	OLLAS	HA	ALFA
6	ALFA	HA	FLAG
7	ALFA	V5	VSVG
8	OLLAS	VSVG	HA
9	FLAG	VSVG	HA
10	HA	OLLAS	V5
11	VSVG	HA	V5
12	ALFA	HA	VSVG
13	ALFA	HA	V5
14	V5	ALFA	FLAG
15	ALFA	VSVG	OLLAS
16	HA	OLLAS	FLAG
17	ALFA	MYC	FLAG
18	MYC	HA	VSVG
19	V5	VSVG	FLAG
