objId	EGFP	OLLAS	ALFA	FLAG	VSVG	bcd
B10n4698	4508.29	170.03	4873.88	235.36	4715.85	FLAG_ALFA_VSVG
B10n4695	1607.4	159.4	1803.36	190.16	1260.55	FLAG_ALFA_VSVG
B10n4699	5058.55	162.25	5317.6	257.6	4940.565	FLAG_ALFA_VSVG
B10n4702	2561.23	222.06	4024.84	203.58	3314.52	FLAG_ALFA_VSVG
B10n4706	2293.43	115.84	2895	225	2113.56	FLAG_ALFA_VSVG
B10n4703	5756.25	216.7	5812.25	241.88	5939.08	FLAG_ALFA_VSVG
B10n4704	4398.15	168.09	2735.84	259.2	5647.4	FLAG_ALFA_VSVG
B10n4708	2360.7	203.7	2798.1	195.4	1575.32	FLAG_ALFA_VSVG
B10n4707	2933.8	218.3	3130.115	222.315	3487.22	FLAG_ALFA_VSVG
B10n4712	3273.12	106.2	2893.02	220.76	3514.65	FLAG_ALFA_VSVG
B10n4709	3646.76	222.93	2584.92	229.48	4328.44	FLAG_ALFA_VSVG
B10n4710	5825	213.91	6978.54	265.8	7181.4	FLAG_ALFA_VSVG
B10n4711	1798.35	148.39	2299.05	192.2	1690.175	FLAG_ALFA_VSVG
B10n4713	2253.24	212.87	2544.54	209.04	2572.24	FLAG_ALFA_VSVG
B10n4714	3503	189.5	2798.6	233.4	5189.84	FLAG_ALFA_VSVG
B10n4715	3102.48	167.1	5127.3	209.76	3436.1	FLAG_ALFA_VSVG
B10n4716	351.9	146.785	338.6	201.8	719.755	FLAG_ALFA_VSVG
B10n4717	3635.5	156.07	3942.85	218.95	3193.94	FLAG_ALFA_VSVG
B10n4718	3271.46	98.54	3603.25	225.5	2764.72	FLAG_ALFA_VSVG
B10n4719	1187.6	143.12	1049.1	212	1813.35	FLAG_ALFA_VSVG
B10n4720	356.2	144.515	336.95	196.75	746.455	FLAG_ALFA_VSVG
B10n4721	1637.88	101.06	1722	221.5	1806.88	FLAG_ALFA_VSVG
B10n4722	3663.58	97.46	4293.5	219	2648.7	FLAG_ALFA_VSVG
B10n4723	3656.53	238.19	4074.92	244.56	6199.86	FLAG_ALFA_VSVG
B10n4728	3878.9	170.705	7495.04	217.08	4438.4	FLAG_ALFA_VSVG
B10n4725	2573.6	146.19	2180.65	228.8	4735.17	FLAG_ALFA_VSVG
B10n4729	3083.5	148.25	3572.5	202.7	2494.96	FLAG_ALFA_VSVG
B10n4726	1219.07	97.32	1417	196	991.28	FLAG_ALFA_VSVG
B10n4730	4664	148.17	5633.8	222.1	4188.735	FLAG_ALFA_VSVG
B10n4731	3093.26	169.82	2510.88	225.72	3366.1	FLAG_ALFA_VSVG
B10n4727	4094.39	171.81	4075.04	235.8	4326.1	FLAG_ALFA_VSVG
B10n4732	3037.26	94.3	2828.5	240	4080	FLAG_ALFA_VSVG
B10n4734	4462.15	226.19	5072.46	251.96	5794.41	FLAG_ALFA_VSVG
B10n4733	5509.91	102.14	6736	247	4135.76	FLAG_ALFA_VSVG
B10n4739	1434.92	98.6	1257.48	201.38	1417.1	FLAG_ALFA_VSVG
B10n4735	3028.5	152.21	3367.75	210.55	2687.44	FLAG_ALFA_VSVG
B10n4736	7324.9	163.76	7308.6	290.9	7645.82	FLAG_ALFA_VSVG
B10n4737	5035.5	150.41	6338.6	230	4636.97	FLAG_ALFA_VSVG
B10n4738	1756.05	208.9	1404.76	212.48	1836.92	FLAG_ALFA_VSVG
B10n4740	3721.55	220.36	4154.07	244.35	4833.12	FLAG_ALFA_VSVG
B10n4741	5258.25	210.06	4439.85	231.87	6374.37	FLAG_ALFA_VSVG
B10n4742	1364.7	145.94	1793.5	188.65	1344.61	FLAG_ALFA_VSVG
B10n4744	6341.255	209.33	5826.44	251.96	7514.12	FLAG_ALFA_VSVG
B10n4745	5684.54	217.51	7642.2	258.62	6788.32	FLAG_ALFA_VSVG
B10n4747	5909.1	211.06	5893.8	237	4462.83	FLAG_ALFA_VSVG
B10n4748	1695.54	226.68	2170.92	203.6	2160.72	FLAG_ALFA_VSVG
B10n4749	3570.4	138	4064.66	229.6	4338.3	FLAG_ALFA_VSVG
B10n4746	3074.9	170.07	2532.88	228.4	3249.7	FLAG_ALFA_VSVG
B10n4752	4859.3	207.23	6860.6	209.1	3714.12	FLAG_ALFA_VSVG
B10n4753	4583.56	203.62	3824.12	247.72	4971.62	FLAG_ALFA_VSVG
B10n4750	1757.8	223.26	2131.05	210.57	2172.13	FLAG_ALFA_VSVG
B10n4754	3709.92	212.77	4475.2	226.8	4639.4	FLAG_ALFA_VSVG
B10n4751	901.32	164.57	1297.5	194.6	1017.7	FLAG_ALFA_VSVG
B10n4755	5629.8	202.94	5513.6	236.8	4484.86	FLAG_ALFA_VSVG
B10n4756	707.975	208.34	1742.76	199.36	1708.14	FLAG_ALFA_VSVG
B10n4758	5582.4	209.93	4705.76	265.04	6458.2	FLAG_ALFA_VSVG
B10n4757	4893.64	227.78	6569.4	227.92	6304.2	FLAG_ALFA_VSVG
B10n4759	3825.72	117.55	4084.56	221.52	4015.85	FLAG_ALFA_VSVG
B10n4760	2939.35	118.51	3361.54	213.48	3008.08	FLAG_ALFA_VSVG
B10n4762	2535.38	214.98	3091.32	204.24	2912.28	FLAG_ALFA_VSVG
B10n4763	3434.75	166	5297.48	214.12	3559.5	FLAG_ALFA_VSVG
B10n4761	5111.92	215.34	6666.92	247.12	6990.28	FLAG_ALFA_VSVG
B10n4764	3613.2	218.765	3924.73	256.66	4793.34	FLAG_ALFA_VSVG
B10n4765	3521.05	211.98	2947.35	214.05	3888.2	FLAG_ALFA_VSVG
B10n4766	3000.25	219.6	3140.31	246.62	4066.69	FLAG_ALFA_VSVG
B10n4767	1041.62	98.9	1226.5	191.5	794.9	FLAG_ALFA_VSVG
B10n4768	5681.13	146.255	8254.13	247.54	7055.38	FLAG_ALFA_VSVG
B10n4769	3444.24	222.4	3965.78	257.105	4989.2	FLAG_ALFA_VSVG
B10n4770	3048.6	160.74	3819.66	244.7	6624.565	FLAG_ALFA_VSVG
B10n4771	3087.14	96.21	2965.5	241.5	5185.32	FLAG_ALFA_VSVG
B10n4772	2354.99	117.865	2427.115	215.275	2701.22	FLAG_ALFA_VSVG
B10n4776	6503.915	212.38	5577.78	278.96	7466.78	FLAG_ALFA_VSVG
B10n4774	2274.2	145.99	2699	196.1	2088.66	FLAG_ALFA_VSVG
B10n4773	4066.43	101.84	4745	235	3450.52	FLAG_ALFA_VSVG
B10n4778	3566.46	94	3268.25	242	5212.08	FLAG_ALFA_VSVG
B10n4775	3182.92	97.66	3834.75	219.75	2335.22	FLAG_ALFA_VSVG
B10n4780	2532	188.72	2206.6	212.8	3127.5	FLAG_ALFA_VSVG
B10n4785	4170	191.36	3210.4	255.8	7550.24	FLAG_ALFA_VSVG
B10n4777	2296.82	168.845	4445.76	200.96	2579.1	FLAG_ALFA_VSVG
B10n4782	2019.1	164.48	3399.04	195.04	2472	FLAG_ALFA_VSVG
B10n4783	2453	150.42	3017	191.4	2257.05	FLAG_ALFA_VSVG
B10n4779	1616.93	96.02	1929	196	1197.88	FLAG_ALFA_VSVG
B10n4784	2806.4	92.68	3331	199	2140.76	FLAG_ALFA_VSVG
B10n4786	8937.08	213.345	10750.96	355.76	12523.12	FLAG_ALFA_VSVG
